iso_a2,time_refs,list_len
AD,1,1
AE,3 4,2
AF,8 3.5 4.5 5,4
AG,-4,1
AI,-4,1
AL,1 2,2
AM,2 4,2
AO,1 2,2
AQ,-12 -11 -10 -9 -8 -7 -6 -5 6 -4 -3 7 8 9 -2 -1 0 1 2 3 4 5 10 11 12,25
AR,-4 -3,2
AS,-11,1
AT,1,1
AU,8 9 9.5 10 10.5 11,6
AW,-4,1
AX,2,1
AZ,2 3 3.5 4 5,5
BA,1,1
BB,-4,1
BD,6 6.5 7 5.5,4
BE,1,1
BF,0 1,2
BG,1 2,2
BH,3,1
BI,2 3,2
BJ,0 1,2
BL,-4,1
BM,-4,1
BN,8,1
BO,-5 -4 -3,3
BQ,-4,1
BR,-5 -4.5 -4 -3 -2,5
BS,-5,1
BT,6 8 5.5,3
BV,0,1
BW,1 2,2
BY,1 2 3,3
BZ,-6,1
CA,-9 -8 -7 -6 -5 -4 -3.5,7
CC,6.5,1
CD,1 2 3,3
CF,1 2 3,3
CG,1,1
CH,1,1
CI,0,1
CK,-10,1
CL,-6 -5 -4 -3,4
CM,1,1
CN,5.75 6 6.5 7 8 9 4.5 5 5.5 10,10
CO,-5 -4.5 -4,3
CR,-6 -5,2
CU,-5,1
CV,-1,1
CW,-4,1
CX,7,1
CY,2,1
CZ,1,1
DE,1,1
DJ,3,1
DK,1,1
DM,-4,1
DO,-5 -4,2
DZ,0 1 2,3
EC,-6 -5,2
EE,2 3,2
EG,2 3,2
EH,-1 0,2
ER,3,1
ES,-1 0 1,3
ET,3,1
FI,1 2 3,3
FJ,12,1
FK,-4,1
FM,10 11,2
FO,0,1
FR,0 1,2
GA,1,1
GB,-1 0,2
GD,-4,1
GE,2 3 4,3
GF,-3,1
GG,0,1
GH,0,1
GI,0 1,2
GL,-5 -4 -3 -1 0 1,6
GM,0,1
GN,0,1
GP,-4,1
GQ,1,1
GR,1 2,2
GS,-2,1
GT,-6,1
GU,10,1
GW,0,1
GY,-4.5 -4 -3,3
HK,8,1
HM,5,1
HN,-6,1
HR,1,1
HT,-5 -4,2
HU,1 2,2
ID,7 8 9,3
IE,0,1
IL,2,1
IM,0,1
IN,5.75 6 6.5 8 5 5.5,6
IO,6 5,2
IQ,2 3 3.5,3
IR,2 3 3.5 4 4.5 5,6
IS,0,1
IT,1,1
JE,0,1
JM,-5,1
JO,2 3,2
JP,9 10,2
KE,3,1
KG,6 8 5,3
KH,7,1
KI,-11 12 14,3
KM,3,1
KN,-4,1
KP,8 9 10,3
KR,9,1
KW,3,1
KY,-5,1
KZ,6 8 3 5,4
LA,6.5 7 8,3
LB,2,1
LC,-4,1
LI,1,1
LK,5 5.5,2
LR,0,1
LS,2,1
LT,1 2,2
LU,1,1
LV,2 3,2
LY,1 2 3,3
MA,-1 0 1,3
MC,1,1
MD,2,1
ME,1,1
MF,-4,1
MG,3,1
MH,12,1
MK,1 2,2
ML,0 1,2
MM,6 6.5 7 8 5.5,5
MN,6 7 8 9,4
MO,8,1
MP,10,1
MQ,-4,1
MR,-1 0,2
MS,-4,1
MT,1,1
MU,4,1
MV,5,1
MW,2 3,2
MX,-8 -7 -6,3
MY,7 8,2
MZ,2 3,2
NA,1 2,2
NC,11,1
NE,0 1 2,3
NF,11.5,1
NG,0 1,2
NI,-6,1
NL,-4 0 1,3
NO,1 2 3,3
NP,5.75 8 5.5,3
NR,12,1
NU,-11,1
NZ,12 12.75,2
OM,3 4,2
PA,-6 -5,2
PE,-5 -4,2
PF,-10 -9.5 -9,3
PG,9 10 11,3
PH,8,1
PK,8 3.5 4 4.5 5 5.5,6
PL,1 2,2
PM,-3,1
PN,-9,1
PR,-4,1
PS,2,1
PT,-1 0 1,3
PW,9,1
PY,-4 -3,2
QA,3,1
RE,4,1
RO,1 2,2
RS,1 2,2
RU,-9 6 7 8 9 1 2 3 4 5 10 11,12
RW,2 3,2
SA,2 3 4,3
SB,11,1
SC,3 4,2
SD,1 2 3,3
SE,1 2,2
SG,8,1
SH,0,1
SI,1,1
SJ,1,1
SK,1 2,2
SL,0,1
SM,1,1
SN,-1 0,2
SO,3,1
SR,-4 -3,2
SS,1 2 3,3
ST,0,1
SV,-6,1
SX,-4,1
SY,2 3,2
SZ,2,1
TC,-5,1
TD,1 2 3,3
TF,3 4 5,3
TG,0 1,2
TH,6.5 7 8,3
TJ,8 4.5 5,3
TK,-10,1
TL,8,1
TM,3.5 4.5 5,3
TN,1 2,2
TO,13,1
TR,2 3 3.5 4,4
TT,-4,1
TV,12,1
TW,8,1
TZ,2 3,2
UA,1 2 3,3
UG,2 3,2
UM,-11 -10 -5 12,4
US,-11 -10 -9 -8 -7 -6 -5 -4,8
UY,-4 -3,2
UZ,6 4.5 5,3
VA,1,1
VC,-4,1
VE,-5 -4.5 -4,3
VG,-4,1
VI,-4,1
VN,7 8,2
VU,11,1
WF,12,1
WS,-11,1
XD,2,1
YE,3 4,2
YT,3,1
ZA,1 2 3,3
ZM,1 2 3,3
ZW,2,1


