ref_country,neighbor_list,list_len
AD,ES FR,2
AE,OM SA,2
AF,CN IR PK TJ TM UZ,6
AL,GR ME MK,3
AM,AZ IR TR,3
AO,CD CG NA ZM,4
AR,BO BR CL PY UY,5
AT,CH CZ DE HU IT LI SI SK,8
AZ,AM IR RU TR,4
BD,IN MM,2
BF,BJ CI GH ML NE TG,6
BG,GR MK RO TR,4
BI,CD RW TZ,3
BJ,BF NE NG TG,4
BN,MY,1
BO,AR BR CL PE PY,5
BR,AR BO CO GF GY PE PY SR UY VE,10
BT,CN IN,2
BW,NA ZA ZM ZW,4
BY,LT LV PL RU UA,5
BZ,GT MX,2
CA,US,1
CD,AO BI CF CG RW SS TZ UG ZM,9
CF,CD CG CM SD SS TD,6
CG,AO CD CF CM GA,5
CH,AT DE FR IT LI,5
CI,BF GH GN LR ML,5
CL,AR BO PE,3
CM,CF CG GA GQ NG TD,6
CN,AF BT HK IN KG KP KZ LA MM MN NP PK RU TJ VN,15
CO,BR EC PA PE VE,5
CR,NI PA,2
CZ,AT DE PL SK,4
DE,AT CH CZ DK FR LU PL,7
DJ,ER ET,2
DK,DE,1
DO,HT,1
DZ,EH LY MA ML MR NE TN,7
EC,CO PE,2
EE,LV RU,2
EG,IL LY SD,3
EH,DZ MA MR,3
ER,DJ ET SD,3
ES,AD FR GI MA,4
ET,DJ ER KE SD SS,5
FI,NO RU SE,3
FR,AD CH DE ES IT LU MC,7
GA,CG CM GQ,3
GF,BR SR,2
GH,BF CI TG,3
GI,ES,1
GM,SN,1
GN,CI GW LR ML SL SN,6
GQ,CM GA,2
GR,AL BG MK TR,4
GT,BZ HN MX SV,4
GW,GN SN,2
GY,BR SR VE,3
HK,CN,1
HN,GT NI SV,3
HR,HU ME SI,3
HT,DO,1
HU,AT HR RO SI SK UA,6
ID,MY TL,2
IL,EG JO LB XD,4
IN,BD BT CN MM NP PK,6
IR,AF AM AZ PK TM TR,6
IT,AT CH FR SI SM VA,6
JO,IL SA SY XD,4
KE,ET SS TZ UG,4
KG,CN KZ TJ UZ,4
KH,LA TH VN,3
KP,CN RU,2
KW,SA,1
KZ,CN KG RU TM UZ,5
LA,CN KH MM TH VN,5
LB,IL SY XD,3
LI,AT CH,2
LR,CI GN SL,3
LS,ZA,1
LT,BY LV PL RU,4
LU,DE FR,2
LV,BY EE LT RU,4
LY,DZ EG NE SD TD TN,6
MA,DZ EH ES,3
MC,FR,1
MD,RO UA,2
ME,AL HR,2
MF,SX,1
MK,AL BG GR,3
ML,BF CI DZ GN MR NE SN,7
MM,BD CN IN LA TH,5
MN,CN RU,2
MR,DZ EH ML SN,4
MW,MZ TZ ZM,3
MX,BZ GT US,3
MY,BN ID TH,3
MZ,MW SZ TZ ZA ZM ZW,6
NA,AO BW ZA ZM ZW,5
NE,BF BJ DZ LY ML NG TD,7
NG,BJ CM NE TD,4
NI,CR HN,2
NO,FI RU SE,3
NP,CN IN,2
OM,AE SA YE,3
PA,CO CR,2
PE,BO BR CL CO EC,5
PK,AF CN IN IR,4
PL,BY CZ DE LT RU SK UA,7
PY,AR BO BR,3
QA,SA,1
RO,BG HU MD UA,4
RU,AZ BY CN EE FI KP KZ LT LV MN NO PL UA,13
RW,BI CD TZ UG,4
SA,AE JO KW OM QA YE,6
SD,CF EG ER ET LY SS TD,7
SE,FI NO,2
SI,AT HR HU IT,4
SK,AT CZ HU PL UA,5
SL,GN LR,2
SM,IT,1
SN,GM GN GW ML MR,5
SR,BR GF GY,3
SS,CD CF ET KE SD UG,6
SV,GT HN,2
SX,MF,1
SY,JO LB TR XD,4
SZ,MZ ZA,2
TD,CF CM LY NE NG SD,6
TG,BF BJ GH,3
TH,KH LA MM MY,4
TJ,AF CN KG UZ,4
TL,ID,1
TM,AF IR KZ UZ,4
TN,DZ LY,2
TR,AM AZ BG GR IR SY,6
TZ,BI CD KE MW MZ RW UG ZM,8
UA,BY HU MD PL RO RU SK,7
UG,CD KE RW SS TZ,5
US,CA MX,2
UY,AR BR,2
UZ,AF KG KZ TJ TM,5
VA,IT,1
VE,BR CO GY,3
VN,CN KH LA,3
XD,IL JO LB SY,4
YE,OM SA,2
ZA,BW LS MZ NA SZ ZW,6
ZM,AO BW CD MW MZ NA TZ ZW,8
ZW,BW MZ NA ZA ZM,5


